,Unnamed: 0,user_ID,name,affiliation
0,0,N5APA98AAAAJ,Wasit Limprasert,Thammasat university
1,1,Re819VUAAAAJ,sandhya Babel,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
2,2,97Zz_TIAAAAJ,Sombat Muengtaweepongsa,Thammasat University
3,3,u-vl_aIAAAAJ,Wutiphol Sintunavarat,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
4,4,9bUei6wAAAAJ,Bunyarit Uyyanonvara,"Associated Professor, SIIT, Thammasat University"
5,5,UOeuXvQAAAAJ,Chanathip Namprempre,"Assistant Professor, Thammasat University"
6,6,82GqezQAAAAJ,Prof.Tritos Laosirihongthong,"Department of Industrial Engineering, Faculty of Engineering, Thammasat University …"
7,7,YMLTjlQAAAAJ,Kriengsak Panuwatwanich,"Associate Professor, Sirindhorn International Institute of Technology, Thammasat University"
8,8,PLcJne4AAAAJ,Sakun Boon-itt,"Professor of Operations Management, Thammasat Business School"
9,9,yGhz_1oAAAAJ,Juthathip Jongwanich,"Faculty of Economics, Thammasat University"
10,10,I2lBB5YAAAAJ,"Kritsadarat Wattanasuwan, DPhil (Oxon)","Thammasat Business School, Thammasat University, Bangkok Thailand"
11,11,debyzkIAAAAJ,Bundit Limmeechokchai,"Sirindhorn International Institute of Technology, THAMAMSAT University"
12,12,JGJNbjIAAAAJ,Ruth Banomyong,"Thammasat Business School, Thammasat University"
13,13,UfE8D-AAAAAJ,Archanun Kophaiboon,"Faculty of Economics, Thammasat University"
14,14,aVwwa_0AAAAJ,Nurak Grisdanurak,"Chemical Engineering Dept., Thammasat University"
15,15,91yGxx0AAAAJ,Paiboon Sreearunothai,Sirindhorn International Institute of Technology
16,16,HD7tStUAAAAJ,Chanatip Samart,Thammasat University
17,17,O4WHKcYAAAAJ,Prof. Dr. Chaosuan Kanchanomai,"Department of Mechanical Engineering, Thammasat University, Thailand"
18,18,SMJ2150AAAAJ,Stanislav Makhanov,"Professor Sirindhorn International Institute of Technology, Thammasat University"
19,19,QL5Hx5gAAAAJ,Kongkiat Kulkantrakorn,Thammasat University
20,20,I5F9jrQAAAAJ,Thanaruk Theeramunkong,Sirindhorn International Institute of Technology
